lvl1:
LayerName, zIndex, textureFile
BackgroundLayer, 0, space_bg(64x64)x5
(1;0),(3;0),(5;0),(2;0),(4;0),(1;0),(2;0),(3;0),(5;0),(4;0),(1;0),(2;0),(4;0),(5;0),(3;0),(2;0),(1;0),(4;0),(3;0),(5;0),(4;0),(1;0),(4;0),(2;0)
(4;0),(2;0),(1;0),(5;0),(3;0),(4;0),(2;0),(1;0),(5;0),(3;0),(2;0),(4;0),(1;0),(5;0),(3;0),(4;0),(1;0),(2;0),(5;0),(3;0),(1;0),(2;0),(3;0),(5;0)
(2;0),(4;0),(3;0),(5;0),(1;0),(2;0),(4;0),(3;0),(5;0),(1;0),(3;0),(5;0),(2;0),(4;0),(1;0),(3;0),(2;0),(4;0),(5;0),(1;0),(4;0),(2;0),(3;0),(1;0)
(5;0),(1;0),(4;0),(3;0),(2;0),(5;0),(1;0),(4;0),(3;0),(2;0),(4;0),(2;0),(1;0),(3;0),(5;0),(4;0),(1;0),(5;0),(2;0),(3;0),(2;0),(3;0),(5;0),(5;0)
(3;0),(5;0),(2;0),(1;0),(4;0),(3;0),(5;0),(2;0),(1;0),(4;0),(2;0),(3;0),(4;0),(1;0),(5;0),(2;0),(3;0),(1;0),(4;0),(5;0),(1;0),(3;0),(1;0),(1;0)
(1;0),(4;0),(3;0),(5;0),(2;0),(1;0),(4;0),(3;0),(5;0),(2;0),(3;0),(5;0),(1;0),(4;0),(2;0),(3;0),(5;0),(2;0),(1;0),(4;0),(2;0),(3;0),(5;0),(1;0)
(2;0),(5;0),(4;0),(3;0),(1;0),(2;0),(5;0),(4;0),(3;0),(1;0),(4;0),(1;0),(5;0),(2;0),(3;0),(4;0),(2;0),(5;0),(1;0),(3;0),(4;0),(5;0),(2;0),(3;0)
(5;0),(3;0),(2;0),(4;0),(1;0),(5;0),(3;0),(2;0),(4;0),(1;0),(1;0),(4;0),(2;0),(5;0),(3;0),(1;0),(5;0),(4;0),(2;0),(3;0),(5;0),(2;0),(3;0),(3;0)
(4;0),(1;0),(5;0),(3;0),(2;0),(4;0),(1;0),(5;0),(3;0),(2;0),(5;0),(3;0),(2;0),(1;0),(4;0),(5;0),(3;0),(2;0),(4;0),(1;0),(2;0),(2;0),(3;0),(5;0)
(3;0),(2;0),(1;0),(5;0),(4;0),(3;0),(2;0),(1;0),(5;0),(4;0),(2;0),(5;0),(3;0),(4;0),(1;0),(2;0),(3;0),(5;0),(1;0),(4;0),(4;0),(4;0),(1;0),(5;0)

InteriorLayer, 1, Wall(64x64)x7
(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0)
(0;0),(0;0),(0;0),(0;0),(0;0),(1;0),(3;0),(5;0),(4;0),(7;0),(4;0),(3;0),(2;0),(2;0),(4;0),(7;0),(7;0),(3;0),(5;0),(6;0),(3;0),(2;0),(4;0),(0;0)
(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(6;0),(6;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0)
(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(0;0)
(0;0),(0;0),(0;0),(0;0),(0;0),(0;0),(3;0),(5;0),(4;0),(7;0),(3;0),(3;0),(7;0),(7;0),(0;0),(0;0),(0;0),(0;0),(7;0),(7;0),(3;0),(0;0),(0;0),(0;0)
